"appln_id","year","Latitude","Longitude","county","state"
408858292,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408859885,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408859885,2012,44.467,-73.171,"CHITTENDEN","VT"
408859885,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408926255,2012,44.3292,-73.1107,"CHITTENDEN","VT"
408926255,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408926719,2012,44.467,-73.171,"CHITTENDEN","VT"
408951532,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408951532,2012,44.467,-73.171,"CHITTENDEN","VT"
408953305,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408954187,2012,44.467,-73.171,"CHITTENDEN","VT"
408954187,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408954187,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408954187,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408954197,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408954281,2012,44.3806,-73.2276,"CHITTENDEN","VT"
408954281,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408954281,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408955231,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408955231,2012,44.3806,-73.2276,"CHITTENDEN","VT"
408955231,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408955611,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408955661,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408955799,2012,42.8781,-73.1968,"BENNINGTON","VT"
408955799,2012,42.8781,-73.1968,"BENNINGTON","VT"
408955799,2012,42.8781,-73.1968,"BENNINGTON","VT"
408957956,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408961916,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409209027,2012,44.3292,-73.1107,"CHITTENDEN","VT"
409209431,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409209705,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409209866,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409209866,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409209928,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409210068,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409210068,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409210867,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409211085,2012,43.1004,-72.7784,"WINDHAM","VT"
409211636,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409215806,2012,44.3806,-73.2276,"CHITTENDEN","VT"
409215806,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409215806,2012,44.3806,-73.2276,"CHITTENDEN","VT"
409216751,2012,44.0153,-73.1673,"ADDISON","VT"
409219020,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409219232,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409417693,2012,42.8781,-73.1968,"BENNINGTON","VT"
409417843,2012,44.467,-73.171,"CHITTENDEN","VT"
409417843,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409417843,2012,44.3292,-73.1107,"CHITTENDEN","VT"
409417843,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409420474,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409420717,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409420717,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409420847,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409421665,2012,44.467,-73.171,"CHITTENDEN","VT"
409421665,2012,44.467,-73.171,"CHITTENDEN","VT"
409424955,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409427517,2012,44.8107,-73.0836,"FRANKLIN","VT"
409430329,2012,44.467,-73.171,"CHITTENDEN","VT"
409566736,2012,44.0153,-73.1673,"ADDISON","VT"
409569110,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409569110,2012,44.467,-73.171,"CHITTENDEN","VT"
409569110,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409569180,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409577952,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409577952,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409577952,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409704362,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409706205,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409707392,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409707392,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409707392,2012,44.3806,-73.2276,"CHITTENDEN","VT"
409708708,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409708708,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409708708,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409708714,2012,44.2601,-72.5754,"WASHINGTON","VT"
409711134,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409716321,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409830370,2012,42.8781,-73.1968,"BENNINGTON","VT"
409834132,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409836407,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409843038,2012,44.467,-73.171,"CHITTENDEN","VT"
409843038,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409843110,2012,44.3292,-73.1107,"CHITTENDEN","VT"
409843110,2012,44.4905,-73.1112,"CHITTENDEN","VT"
409843388,2012,44.4759,-73.2121,"CHITTENDEN","VT"
409849379,2012,44.4759,-73.2121,"CHITTENDEN","VT"
