"state","year","county","precinct","total_votes","rep_votes","dem_votes"
"VT",2012,"BENNINGTON","Sunderland (Bennington 4 )",383,236,141
"VT",2012,"CALEDONIA-4","Sutton (Caledonia-4)",430,254,167
"VT",2012,"FRANKLIN","Swanton (Franklin 4)",2452,1461,947
"VT",2012,"WINDSOR-ORANGE","Thetford (Windsor-Orange 2)",1548,1196,312
"VT",2012,"RUTLAND","Tinmouth (Rutland 2)",71,41,30
"VT",2012,"RUTLAND-BENNINGTON","Tinmouth (Rutland-Bennington)",221,136,79
"VT",2012,"ORANGE-CALEDONIA","Topsham (Orange-Caledonia )",510,288,208
"VT",2012,"WINDHAM","Townshend (Windham 5)",649,449,191
"VT",2012,"ORLEANS","Troy (Orleans 2)",149,86,62
"VT",2012,"ORLEANS-LAMOILLE","Troy (Orleans-Lamoille)",490,307,174
"VT",2012,"WINDSOR-ORANGE","Tunbridge (Windsor-Orange 1)",765,500,239
"VT",2012,"CHITTENDEN-3","Underhill (Chittenden-3)",1829,1226,565
"VT",2012,"ADDISON","Vergennes (Addison 3)",1122,788,312
"VT",2012,"WINDHAM","Vernon (Windham 1)",1086,562,495
"VT",2012,"ORANGE","Vershire (Orange 1)",345,230,103
"VT",2012,"ESSEX-CALEDONIA","Victory (Essex-Caledonia)",49,30,18
"VT",2012,"WASHINGTON","Waitsfield (Washington 7)",1096,824,237
"VT",2012,"CALEDONIA-2","Walden (Caledonia-2)",475,303,158
"VT",2012,"RUTLAND","Wallingford (Rutland 2)",1127,663,426
"VT",2012,"ADDISON","Waltham (Addison 3)",267,179,76
"VT",2012,"WINDHAM-BENNINGTON","Wardsboro (Windham-Bennington",388,247,130
"VT",2012,"WASHINGTON","Warren (Washington 7)",997,774,197
"VT",2012,"ORANGE","Washington (Orange 1)",525,315,195
"VT",2012,"WASHINGTON-CHITTEND","Waterbury (Washington-Chittend",2714,1978,654
"VT",2012,"CALEDONIA-1","Waterford (Caledonia-1)",707,370,326
"VT",2012,"LAMOILLE","Waterville (Lamoille 3)",337,233,98
"VT",2012,"WINDSOR","Weathersfield (Windsor 2)",1434,895,509
"VT",2012,"RUTLAND-BENNINGTON","Wells (Rutland-Bennington)",528,270,234
"VT",2012,"ORANGE","West Fairlee (Orange 2)",297,195,93
"VT",2012,"RUTLAND","West Haven (Rutland 3)",127,79,44
"VT",2012,"RUTLAND","West Rutland (Rutland 2)",1006,597,391
"VT",2012,"WINDSOR","West Windsor (Windsor 1)",684,454,219
"VT",2012,"ORLEANS-LAMOILLE","Westfield (Orleans-Lamoille)",293,170,112
"VT",2012,"CHITTENDEN","Westford (Chittenden 8-3)",1145,742,376
"VT",2012,"WINDHAM","Westminster (Windham 3)",78,62,14
"VT",2012,"WINDHAM","Westminster (Windham 4)",1508,1151,324
"VT",2012,"ESSEX-CALEDONIA-ORLE","Westmore (Essex-Caledonia-Orle",200,104,92
"VT",2012,"WINDHAM-BENNINGTON-W","Weston (Windham-Bennington-W",418,282,130
"VT",2012,"ADDISON","Weybridge (Addison 5)",544,401,127
"VT",2012,"ORLEANS-CALEDONIA","Wheelock (Orleans-Caledonia )",340,197,132
"VT",2012,"ADDISON-RUTLAND","Whiting (Addison-Rutland)",188,133,54
"VT",2012,"WINDHAM","Whitingham (Windham 6)",595,364,220
"VT",2012,"WINDHAM-BENNINGTO","Whitingham (Windham-Benningto",18,12,6
"VT",2012,"ORANGE","Williamstown (Orange 1)",1428,840,549
"VT",2012,"CHITTENDEN-2","Williston (Chittenden-2)",5123,3329,1697
"VT",2012,"WINDHAM","Wilmington (Windham 6)",1037,692,327
"VT",2012,"WINDHAM","Windham (Windham 3)",220,146,70
"VT",2012,"WINDSOR","Windsor (Windsor 1)",1562,1119,406
"VT",2012,"WINDHAM-BENNINGTON-WI","Winhall (Windham-Bennington-Wi",499,297,189
"VT",2012,"CHITTENDEN","Winooski (Chittenden 6-7)",2576,1941,552
"VT",2012,"LAMOILLE","Wolcott (Lamoille 2)",769,538,211
"VT",2012,"LAMOILLE-WASHINGTON","Woodbury (Lamoille-Washington",489,317,157
"VT",2012,"BENNINGTON","Woodford (Bennington 1)",171,122,45
"VT",2012,"WINDSOR","Woodstock (Windsor 5)",1899,1361,508
"VT",2012,"LAMOILLE-WASHINGTON","Worcester (Lamoille-Washington",552,416,112
